Production,Captures,Fish-Consumption,Price
60.000000,400.000000,0.040000,400
60.000000,400.000000,0.040000,400
60.000000,500.000000,0.050000,500
60.000000,500.000000,0.050000,500
60.000000,500.000000,0.050000,500
60.000000,500.000000,0.050000,500
60.000000,600.000000,0.050000,600
170.000000,600.000000,0.060000,600
170.000000,600.000000,0.060000,600
170.000000,600.000000,0.060000,600
170.000000,600.000000,0.060000,600
170.000000,700.000000,0.070000,700
170.000000,700.000000,0.070000,700
170.000000,700.000000,0.070000,700
170.000000,800.000000,0.080000,800
170.000000,800.000000,0.080000,800
170.000000,800.000000,0.080000,800
170.000000,800.000000,0.090000,800
170.000000,1000.000000,0.110000,1000
170.000000,1000.000000,0.110000,1000
170.000000,1000.000000,0.100000,1000
300.000000,1100.000000,0.120000,1100
300.000000,1100.000000,0.110000,1100
300.000000,1200.000000,0.110000,1200
300.000000,1200.000000,0.100000,1200
300.000000,1300.000000,0.100000,1300
300.000000,1300.000000,0.090000,1300
300.000000,1300.000000,0.090000,1300
300.000000,1250.000000,0.080000,1250
300.000000,1200.000000,0.080000,1200
300.000000,1200.000000,0.080000,1200
300.000000,1000.000000,0.060000,1000
450.000000,800.000000,0.060000,800
450.000000,900.000000,0.060000,900
450.000000,900.000000,0.060000,900
450.000000,1000.000000,0.060000,1000
450.000000,1000.000000,0.060000,1000
450.000000,1000.000000,0.060000,1000
1050.000000,1000.000000,0.080000,1000
1050.000000,1000.000000,0.080000,1000
1650.000000,1000.000000,0.070000,1000
2250.000000,1000.000000,0.070000,1000
2850.000000,1150.000000,0.070000,1150
3480.000000,1300.000000,0.070000,1300
4110.000000,1450.000000,0.070000,1450
4760.000000,1600.000000,0.190000,1600
5450.000000,1750.000000,0.210000,1750
6150.000000,1900.000000,0.230000,1900
7000.000000,2000.000000,0.250000,2000
0,300.000000,0.030000,300
0,300.000000,0.030000,300
0,300.000000,0.030000,300
0,300.000000,0.030000,300
0,300.000000,0.030000,300
0,300.000000,0.030000,300
0,400.000000,0.040000,400
0,400.000000,0.040000,400
0.000000,3200.000000,1.920000,3200
0.000000,2800.000000,1.630000,2800
0.000000,3000.000000,1.690000,3000
0.000000,3000.000000,1.650000,3000
0.000000,4000.000000,2.130000,4000
0.000000,4000.000000,2.080000,4000
0.000000,5000.000000,2.530000,5000
0.000000,6000.000000,2.950000,6000
0.000000,7000.000000,3.360000,7000
0.000000,8000.000000,3.740000,8000
0.000000,8000.000000,3.640000,8000
0.000000,8000.000000,3.550000,8000
3.000000,7997.000000,3.460000,7997
45.000000,8455.000000,3.590000,8455
85.000000,8415.000000,3.500000,8415
123.000000,8377.000000,3.420000,8377
164.000000,8336.000000,3.340000,8336
193.000000,8807.000000,3.450000,8807
260.000000,8740.000000,3.370000,8740
339.000000,8661.000000,3.290000,8661
455.000000,8921.000000,3.350000,8921
699.000000,8812.000000,3.210000,8812
1162.000000,8653.000000,3.300000,8653
1197.000000,6809.000000,2.590000,6809
1208.000000,10191.000000,3.700000,10191
2165.000000,9757.200195,2.880000,9757.2001953125
2368.000000,10766.400391,3.240000,10766.400390625
3732.000000,10827.299805,3.350000,10827.2998046875
2604.000000,9357.400391,2.560000,9357.400390625
4961.000000,10054.599609,2.190000,10054.599609375
859.000000,3012.000000,0.590000,3012
397.000000,2696.199951,0.710000,2696.19995117188
389.000000,2500.000000,0.800000,2500
395.000000,2100.000000,0.880000,2100
340.000000,1380.300049,1.390000,1380.30004882813
323.000000,2126.199951,1.020000,2126.19995117188
97.000000,1013.799988,1.150000,1013.79998779297
124.000000,2683.500000,1.710000,2683.5
310.000000,2747.899902,2.660000,2747.89990234375
307.000000,3328.000000,3.280000,3328
286.000000,3311.199951,3.280000,3311.19995117188
860.000000,3656.800049,4.550000,3656.80004882813
1473.000000,2801.600098,4.350000,2801.60009765625
1569.000000,4549.500000,4.640000,4549.5
1473.000000,5000.000000,4.800000,5000
2057.000000,5652.299805,4.770000,5652.2998046875
2092.000000,5413.399902,5.240000,5413.39990234375
2000.000000,5365.000000,5.480000,5365
2317.000000,5811.000000,5.900000,5811
2520.000000,5132.200195,5.730000,5132.2001953125
2345.000000,4805.200195,5.860000,4805.2001953125
3450.000000,8605.200195,4.970000,8605.2001953125
3700.000000,8973.500000,4.870000,8973.5
4000.000000,8705.500000,5.340000,8705.5
3495.000000,7855.500000,5.350000,7855.5
4750.000000,7861.700195,5.360000,7861.7001953125
4430.000000,8564.200195,5.360000,8564.2001953125
0.000000,30400.000000,3.310000,30400
0.000000,21500.000000,1.930000,21500
0.000000,16900.000000,1.360000,16900
0.000000,17300.000000,1.520000,17300
0.000000,18300.000000,1.360000,18300
0.000000,20350.000000,1.520000,20350
0.000000,21150.000000,1.400000,21150
0.000000,18250.000000,1.130000,18250
0.000000,23150.000000,1.440000,23150
0.000000,24234.000000,1.460000,24234
0.000000,23715.000000,1.380000,23715
0.000000,28313.000000,1.700000,28313
0.000000,31243.000000,1.700000,31243
0.000000,35758.000000,2.060000,35758
0.000000,37693.000000,2.150000,37693
0.000000,35122.000000,1.920000,35122
0.000000,43475.000000,2.270000,43475
0.000000,34143.000000,1.860000,34143
0.000000,38678.000000,2.100000,38678
0.000000,48000.000000,2.470000,48000
0.000000,56000.000000,2.900000,56000
0.000000,64500.000000,3.250000,64500
2.000000,65000.000000,3.280000,65000
95.000000,65500.898438,3.190000,65500.8984375
141.000000,66000.601562,3.430000,66000.6015625
250.000000,65261.800781,3.570000,65261.80078125
274.000000,94093.796875,4.260000,94093.796875
304.000000,106437.296875,4.410000,106437.296875
368.000000,99187.421875,4.070000,99187.421875
407.000000,90196.242188,3.510000,90196.2421875
150.000000,79702.000000,2.950000,79702
147.000000,95273.914062,3.440000,95273.9140625
300.000000,101899.968750,3.610000,101899.96875
389.000000,135409.859375,4.730000,135409.859375
369.000000,105878.664062,3.900000,105878.6640625
322.000000,81995.796875,2.910000,81995.796875
322.000000,91585.398438,3.170000,91585.3984375
283.000000,92337.000000,3.280000,92337
250.000000,102399.000000,3.580000,102399
351.000000,113159.898438,3.840000,113159.8984375
454.000000,133628.000000,4.460000,133628
476.000000,134324.796875,4.500000,134324.796875
417.000000,140959.000000,5.030000,140959
586.000000,113464.203125,4.230000,113464.203125
368.000000,126260.296875,4.450000,126260.296875
288.000000,145763.796875,5.120000,145763.796875
405.000000,147363.125000,5.130000,147363.125
2779.916016,138862.437500,4.700000,138862.4375
2163.231934,127777.000000,4.750000,127777
1758.741943,93464.000000,3.810000,93464
2245.770020,101815.000000,3.940000,101815
