Year,Production,Captures,Fish-Consumption
1969,60.000000,400.000000,0.040000
1970,60.000000,400.000000,0.040000
1971,60.000000,500.000000,0.050000
1972,60.000000,500.000000,0.050000
1973,60.000000,500.000000,0.050000
1974,60.000000,500.000000,0.050000
1975,60.000000,600.000000,0.050000
1976,170.000000,600.000000,0.060000
1977,170.000000,600.000000,0.060000
1978,170.000000,600.000000,0.060000
1979,170.000000,600.000000,0.060000
1980,170.000000,700.000000,0.070000
1981,170.000000,700.000000,0.070000
1982,170.000000,700.000000,0.070000
1983,170.000000,800.000000,0.080000
1984,170.000000,800.000000,0.080000
1985,170.000000,800.000000,0.080000
1986,170.000000,800.000000,0.090000
1987,170.000000,1000.000000,0.110000
1988,170.000000,1000.000000,0.110000
1989,170.000000,1000.000000,0.100000
1990,300.000000,1100.000000,0.120000
1991,300.000000,1100.000000,0.110000
1992,300.000000,1200.000000,0.110000
1993,300.000000,1200.000000,0.100000
1994,300.000000,1300.000000,0.100000
1995,300.000000,1300.000000,0.090000
1996,300.000000,1300.000000,0.090000
1997,300.000000,1250.000000,0.080000
1998,300.000000,1200.000000,0.080000
1999,300.000000,1200.000000,0.080000
2000,300.000000,1000.000000,0.060000
2001,450.000000,800.000000,0.060000
2002,450.000000,900.000000,0.060000
2003,450.000000,900.000000,0.060000
2004,450.000000,1000.000000,0.060000
2005,450.000000,1000.000000,0.060000
2006,450.000000,1000.000000,0.060000
2007,1050.000000,1000.000000,0.080000
2008,1050.000000,1000.000000,0.080000
2009,1650.000000,1000.000000,0.070000
2010,2250.000000,1000.000000,0.070000
2011,2850.000000,1150.000000,0.070000
2012,3480.000000,1300.000000,0.070000
2013,4110.000000,1450.000000,0.070000
2014,4760.000000,1600.000000,0.190000
2015,5450.000000,1750.000000,0.210000
2016,6150.000000,1900.000000,0.230000
2017,7000.000000,2000.000000,0.250000
1961,0,300.000000,0.030000
1962,0,300.000000,0.030000
1963,0,300.000000,0.030000
1964,0,300.000000,0.030000
1965,0,300.000000,0.030000
1966,0,300.000000,0.030000
1967,0,400.000000,0.040000
1968,0,400.000000,0.040000
1961,0.000000,3200.000000,1.920000
1962,0.000000,2800.000000,1.630000
1963,0.000000,3000.000000,1.690000
1964,0.000000,3000.000000,1.650000
1965,0.000000,4000.000000,2.130000
1966,0.000000,4000.000000,2.080000
1967,0.000000,5000.000000,2.530000
1968,0.000000,6000.000000,2.950000
1969,0.000000,7000.000000,3.360000
1970,0.000000,8000.000000,3.740000
1971,0.000000,8000.000000,3.640000
1972,0.000000,8000.000000,3.550000
1973,3.000000,7997.000000,3.460000
1974,45.000000,8455.000000,3.590000
1975,85.000000,8415.000000,3.500000
1976,123.000000,8377.000000,3.420000
1977,164.000000,8336.000000,3.340000
1978,193.000000,8807.000000,3.450000
1979,260.000000,8740.000000,3.370000
1980,339.000000,8661.000000,3.290000
1981,455.000000,8921.000000,3.350000
1982,699.000000,8812.000000,3.210000
1983,1162.000000,8653.000000,3.300000
1984,1197.000000,6809.000000,2.590000
1985,1208.000000,10191.000000,3.700000
1986,2165.000000,9757.200195,2.880000
1987,2368.000000,10766.400391,3.240000
1988,3732.000000,10827.299805,3.350000
1989,2604.000000,9357.400391,2.560000
1990,4961.000000,10054.599609,2.190000
1991,859.000000,3012.000000,0.590000
1992,397.000000,2696.199951,0.710000
1993,389.000000,2500.000000,0.800000
1994,395.000000,2100.000000,0.880000
1995,340.000000,1380.300049,1.390000
1996,323.000000,2126.199951,1.020000
1997,97.000000,1013.799988,1.150000
1998,124.000000,2683.500000,1.710000
1999,310.000000,2747.899902,2.660000
2000,307.000000,3328.000000,3.280000
2001,286.000000,3311.199951,3.280000
2002,860.000000,3656.800049,4.550000
2003,1473.000000,2801.600098,4.350000
2004,1569.000000,4549.500000,4.640000
2005,1473.000000,5000.000000,4.800000
2006,2057.000000,5652.299805,4.770000
2007,2092.000000,5413.399902,5.240000
2008,2000.000000,5365.000000,5.480000
2009,2317.000000,5811.000000,5.900000
2010,2520.000000,5132.200195,5.730000
2011,2345.000000,4805.200195,5.860000
2012,3450.000000,8605.200195,4.970000
2013,3700.000000,8973.500000,4.870000
2014,4000.000000,8705.500000,5.340000
2015,3495.000000,7855.500000,5.350000
2016,4750.000000,7861.700195,5.360000
2017,4430.000000,8564.200195,5.360000
1961,0.000000,30400.000000,3.310000
1962,0.000000,21500.000000,1.930000
1963,0.000000,16900.000000,1.360000
1964,0.000000,17300.000000,1.520000
1965,0.000000,18300.000000,1.360000
1966,0.000000,20350.000000,1.520000
1967,0.000000,21150.000000,1.400000
1968,0.000000,18250.000000,1.130000
1969,0.000000,23150.000000,1.440000
1970,0.000000,24234.000000,1.460000
1971,0.000000,23715.000000,1.380000
1972,0.000000,28313.000000,1.700000
1973,0.000000,31243.000000,1.700000
1974,0.000000,35758.000000,2.060000
1975,0.000000,37693.000000,2.150000
1976,0.000000,35122.000000,1.920000
1977,0.000000,43475.000000,2.270000
1978,0.000000,34143.000000,1.860000
1979,0.000000,38678.000000,2.100000
1980,0.000000,48000.000000,2.470000
1981,0.000000,56000.000000,2.900000
1982,0.000000,64500.000000,3.250000
1983,2.000000,65000.000000,3.280000
1984,95.000000,65500.898438,3.190000
1985,141.000000,66000.601562,3.430000
1986,250.000000,65261.800781,3.570000
1987,274.000000,94093.796875,4.260000
1988,304.000000,106437.296875,4.410000
1989,368.000000,99187.421875,4.070000
1990,407.000000,90196.242188,3.510000
1991,150.000000,79702.000000,2.950000
1992,147.000000,95273.914062,3.440000
1993,300.000000,101899.968750,3.610000
1994,389.000000,135409.859375,4.730000
1995,369.000000,105878.664062,3.900000
1996,322.000000,81995.796875,2.910000
1997,322.000000,91585.398438,3.170000
1998,283.000000,92337.000000,3.280000
1999,250.000000,102399.000000,3.580000
2000,351.000000,113159.898438,3.840000
2001,454.000000,133628.000000,4.460000
2002,476.000000,134324.796875,4.500000
2003,417.000000,140959.000000,5.030000
2004,586.000000,113464.203125,4.230000
2005,368.000000,126260.296875,4.450000
2006,288.000000,145763.796875,5.120000
2007,405.000000,147363.125000,5.130000
2008,2779.916016,138862.437500,4.700000
2009,2163.231934,127777.000000,4.750000
2010,1758.741943,93464.000000,3.810000
2011,2245.770020,101815.000000,3.940000
2012,2644.001953,105621.000000,3.990000
2013,2192.881104,101057.000000,3.920000
2014,2410.972900,97828.000000,4.400000
2015,1332.989990,95946.000000,4.160000
2016,1376.000000,100180.000000,3.920000
2017,1416.000000,104100.000000,3.860000
2000,5.000000,239351.000000,12.060000
2001,11.000000,254553.000000,15.210000
2002,51.000000,255443.000000,16.000000
2003,72.000000,212033.000000,13.240000
2004,92.000000,240002.000000,13.340000
2005,126.000000,202616.000000,12.010000
2006,156.000000,225741.000000,13.920000
2007,190.000000,306436.000000,16.780000
2008,190.000000,305860.000000,17.070000
2009,260.000000,272042.000000,16.170000
2010,310.000000,310000.000000,16.190000
2011,310.000000,342000.000000,16.320000
2012,310.000000,374000.000000,15.820000
2013,57.000000,407000.000000,15.340000
2014,305.000000,442084.000000,26.360000
2015,872.000000,495232.000000,22.720000
2016,655.000000,486490.000000,19.520000
2017,1339.000000,531575.000000,20.220000
1961,0,246800.000000,7.170000
1962,0,274800.000000,9.770000
1963,0,245300.000000,8.840000
1964,0,362000.000000,11.930000
1965,0,263300.000000,10.520000
1966,0,335300.000000,11.080000
1967,0,299300.000000,13.640000
1968,0,303100.000000,14.130000
1969,0,425200.000000,12.670000
1970,0,374501.000000,14.670000
1971,0,324322.000000,11.100000
1972,0,606656.000000,6.170000
1973,0,478659.000000,5.810000
1974,0,399784.000000,7.670000
1975,0,160581.000000,4.490000
1976,0,81542.000000,9.040000
1977,0,120407.000000,14.720000
1978,0,125630.000000,14.010000
1979,0,113072.000000,12.580000
1980,0,85085.000000,8.520000
1981,0,130957.000000,13.280000
1982,0,111488.000000,22.320000
1983,0,110376.000000,22.180000
1984,0,95188.000000,24.590000
1985,0,100093.000000,26.510000
1986,0,84660.000000,25.780000
1987,0,107490.000000,24.940000
1988,0,126031.000000,24.990000
1989,0,137465.000000,22.980000
1990,0,133088.000000,19.410000
1991,0,117104.000000,11.970000
1992,0,113625.000000,11.140000
1993,0,126200.000000,11.630000
1994,0,132413.000000,11.540000
1995,0,122781.000000,10.430000
1996,0,137815.000000,11.510000
1997,0,146304.000000,10.390000
1998,0,163149.000000,8.720000
1999,0,175799.000000,11.770000
2011,4.000000,3055.000000,54.570000
2012,10.000000,5951.000000,53.960000
2013,11.000000,4605.000000,53.360000
2014,13.000000,3114.000000,54.170000
2015,10.000000,3165.000000,53.590000
2016,10.000000,3165.000000,53.040000
2017,10.000000,3165.000000,52.540000
1961,0,800.000000,36.830000
1962,0,800.000000,36.610000
1963,0,800.000000,35.960000
1964,0,700.000000,36.020000
1965,0,800.000000,37.090000
1966,0,800.000000,36.480000
1967,0,800.000000,31.860000
1968,0,800.000000,25.800000
1969,0,800.000000,34.770000
1970,0,900.000000,30.390000
1971,0,900.000000,29.930000
1972,0,1200.000000,33.960000
1973,0,1500.000000,37.870000
1974,0,1590.000000,35.150000
1975,0,1601.000000,41.260000
1976,0,1613.000000,43.600000
1977,0,1821.000000,43.150000
1978,0,1620.000000,37.020000
1979,0,1219.000000,40.670000
1980,0,1171.000000,42.950000
1981,0,1157.000000,37.630000
1982,0,950.000000,30.180000
1983,0,1063.000000,31.270000
1984,0,1465.000000,40.740000
1985,0,2407.000000,51.850000
1986,0,2400.000000,54.790000
1987,0,1985.000000,50.760000
1988,0,1488.000000,46.160000
1989,0,990.000000,50.050000
1990,0,875.000000,31.400000
1991,0,1481.000000,30.910000
1992,0,1692.000000,49.490000
1993,0,1046.000000,41.300000
1994,0,1095.000000,38.770000
1995,0,1576.000000,38.910000
1996,0,1434.000000,35.640000
1997,0,1639.000000,40.300000
1998,0,1675.000000,36.230000
1999,0,1626.000000,40.890000
2000,0,1723.000000,44.490000
2001,0,1797.000000,42.330000
2002,0,2343.000000,44.930000
2003,0,2541.000000,51.230000
2004,0,2473.000000,51.950000
2005,0,2948.000000,54.030000
2006,0,3044.000000,55.720000
2007,0,3042.000000,57.040000
2008,0,3389.000000,57.420000
2009,0,2416.000000,56.220000
2010,0,2219.000000,55.200000
1961,0.000000,101900.000000,4.170000
1962,1.000000,101306.000000,4.130000
1963,2.000000,130571.000000,5.130000
1964,4.000000,168604.000000,6.830000
1965,5.000000,205000.000000,6.640000
1966,5.000000,250800.000000,6.060000
1967,8.000000,240860.000000,5.210000
1968,11.000000,223121.000000,5.590000
1969,15.000000,202800.000000,5.060000
1970,19.000000,214500.000000,5.280000
1971,23.000000,228608.000000,6.540000
1972,27.000000,237948.000000,5.860000
1973,31.000000,301989.000000,5.540000
1974,36.000000,295965.000000,6.270000
1975,42.000000,232209.000000,4.730000
1976,49.000000,281727.000000,3.330000
1977,57.000000,402723.000000,4.550000
1978,67.000000,541892.000000,7.010000
1979,78.000000,580657.000000,7.650000
1980,90.000000,400011.000000,6.010000
1981,105.000000,374777.000000,6.040000
1982,123.000000,488112.000000,5.870000
1983,143.000000,428064.000000,5.890000
1984,150.000000,322563.000000,5.020000
1985,270.000000,419470.000000,6.810000
1986,270.000000,422424.000000,5.760000
1987,353.000000,461568.000000,5.250000
1988,353.000000,496041.000000,6.590000
1989,300.000000,494683.000000,5.420000
1990,300.000000,560857.000000,5.970000
1991,350.000000,642362.000000,6.440000
1992,402.000000,745678.000000,8.710000
1993,707.000000,984908.000000,9.280000
1994,763.000000,999814.000000,8.090000
1995,1474.000000,1175635.000000,10.050000
1996,1322.000000,1290065.000000,11.800000
1997,1314.000000,1389550.000000,11.990000
1998,1040.000000,1165404.000000,11.610000
1999,1218.000000,1086938.000000,10.230000
2000,1784.000000,922289.000000,8.540000
2001,1340.000000,931282.000000,10.040000
2002,1457.000000,946535.000000,7.250000
2003,1647.000000,911283.000000,7.340000
2004,1848.000000,945978.000000,6.830000
2005,2057.000000,934009.000000,6.710000
2006,2528.000000,1176616.000000,9.060000
2007,2957.000000,992618.000000,7.290000
2008,2700.000000,999949.000000,7.800000
2009,2582.949951,872632.000000,6.100000
2010,2654.349854,818162.000000,5.850000
2011,3193.250000,815988.000000,6.020000
2012,2958.420166,762560.000000,5.880000
2013,3825.119873,890305.000000,7.050000
2014,4002.709961,853436.000000,5.880000
2015,3662.650146,835850.000000,7.210000
2016,3673.484863,771152.000000,6.070000
2017,3567.760010,849268.000000,7.290000
1992,2565.000000,1885.000000,1.290000
1993,2250.000000,1850.000000,1.220000
1994,1570.000000,1033.000000,0.940000
1995,1120.000000,821.000000,0.990000
1996,650.000000,580.000000,0.530000
1997,670.000000,580.000000,0.520000
1998,437.000000,698.000000,0.580000
1999,889.000000,1144.000000,0.810000
2000,893.000000,1133.000000,1.100000
2001,1331.000000,866.000000,1.220000
2002,1020.000000,465.000000,1.090000
2003,1064.000000,569.000000,0.790000
2004,813.000000,218.000000,0.490000
2005,739.000000,250.000000,2.420000
2006,1056.000000,350.000000,1.440000
2007,3650.000000,1065.000000,2.260000
2008,5100.000000,601.000000,3.190000
2009,5240.000000,619.000000,3.400000
2010,5000.000000,617.000000,2.600000
2011,6300.000000,795.000000,3.220000
2012,8850.000000,861.000000,3.420000
2013,11700.000000,4099.000000,4.380000
2014,13925.000000,4795.000000,5.500000
2015,15130.000000,8140.000000,6.590000
2016,16381.000000,3758.000000,6.540000
2017,16690.000000,364.000000,5.830000
1961,6500.000000,57215.000000,12.820000
1962,5800.000000,62656.000000,11.700000
1963,5900.000000,67819.000000,8.840000
1964,5800.000000,68242.000000,12.650000
1965,6600.000000,77944.000000,12.780000
1966,6800.000000,89514.000000,14.210000
1967,7300.000000,93044.000000,13.280000
1968,7500.000000,103495.000000,12.910000
1969,7500.000000,91758.000000,13.020000
1970,7021.000000,97996.000000,12.790000
1971,9800.000000,107029.000000,14.120000
1972,10400.000000,117250.000000,12.490000
1973,9200.000000,120461.000000,13.150000
1974,10484.000000,134082.000000,15.970000
1975,9204.000000,105372.000000,13.580000
1976,10439.000000,105572.000000,12.950000
1977,11126.000000,137195.000000,14.570000
1978,10236.000000,131282.000000,13.530000
1979,8702.000000,137912.000000,12.530000
1980,8994.000000,136873.000000,13.980000
1981,9185.000000,153148.000000,16.130000
1982,8841.000000,171926.000000,16.740000
