"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","200","200","300","300","300","300","300","400","400","400","400","400","400","500","550","600","650","700","770","770","770","770","770","770","770","770","700","620","550","480","420","350","300","260","260","140","160","205","182","175","163","163","163","160","162","162","145","159","151","163","153","166","138","145","152","150","150","149","149","","",
"Africa Eastern and Southern","AFE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1485740","1632169","1735664","1848486","2164132","2174850","2275269","2633940","3159759","3078461","2483310","2361343","2629211","2784031","2735580","2487936","2204942","2161409","2124728","2022710","1877374","1935167","1947033","2056780","1970145","2026207","2107686","2873441","2835836.3125","2396259.03125","2446784.1875","2217643.75","2929005.3125","2989707.34375","2736549.0625","2732716.75","2472751.13125","2658550.84375","2809141.38439941","2923595.94042969","3167627.90625","3224259.578125","3312222.828125","3416786.25","3607347.265625","3569886.5","3324574.5","3438811.5","3296608.5","3209702","3471017","3495980","3816873","3686125","3914931","4017684.25","4169121","4192887","4115035","","",
"Afghanistan","AFG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","200","300","300","300","300","300","300","400","400","400","400","500","500","500","500","600","600","600","600","600","700","700","700","800","800","800","800","1000","1000","1000","1100","1100","1200","1200","1300","1300","1300","1250","1200","1200","1000","800","900","900","1000","1000","1000","1000","1000","1000","1000","1150","1300","1450","1600","1750","1900","2000","2050","","",
"Africa Western and Central","AFW","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","488505","513837","560769","582503","646740","680876","740412","790821","782152","850772","961442","1133279","1201189","1197244","1237129","1275029","1262313","1294795","1307225","1296502","1276821","1313217","1303150","1367361","1339388","1357186","1475547","1551202","1524068","1604224","1682408.04003906","1596435.10009766","1767671","1672261","1637856","1862651","2067303","2114588","2144828","2253588","2247133","2290269","2231496","2433204","2501277","2537499","2391540","2383542","2554257","2637165","2732985","2980555","3121053","3180280","3179511","3154317","3473525","4116060","4178920.75","","",
"Angola","AGO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","257300","246800","274800","245300","362000","263300","335300","299300","303100","425200","374501","324322","606656","478659","399784","160581","81542","120407","125630","113072","85085","130957","111488","110376","95188","100093","84660","107490","126031","137465","133088","117104","113625","126200","132413","122781","137815","146304","163149","175799","239351","254553","255443","212033","240002","202616","225741","306436","305860","272042","310000","342000","374000","407000","442084","495232","486490","531575","442255","","",
"Albania","ALB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2600","3200","2800","3000","3000","4000","4000","5000","6000","7000","8000","8000","8000","7997","8455","8415","8377","8336","8807","8740","8661","8921","8812","8653","6809","10191","9757.2001953125","10766.400390625","10827.2998046875","9357.400390625","10054.599609375","3012","2696.19995117188","2500","2100","1380.30004882813","2126.19995117188","1013.79998779297","2683.5","2747.89990234375","3328","3311.19995117188","3656.80004882813","2801.60009765625","4549.5","5000","5652.2998046875","5413.39990234375","5365","5811","5132.2001953125","4805.2001953125","8605.2001953125","8973.5","8705.5","7855.5","7861.7001953125","8564.2001953125","8648.2998046875","","",
"Andorra","AND","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","474880","505098","531470","541412","593475","591828","694322","640424","614804","634609","687642","704721","752751","921490","898965","864251","934355","905199","910069.89453125","938276.7890625","987376.09375","1038654.078125","1032889.640625","1179314.23657227","1199784.85888672","1276059.99194336","1420378.53637695","1422105.03491211","1575689.6328125","1489955.34375","1536003.0703125","1588588.5546875","1569900.8515625","1677432.2734375","1884931.453125","2023076.6953125","1792001.8109375","2006436.515625","1984901.71875","2060476.984375","2211091.9140625","2569250.46875","2466899.4921875","2512946.2421875","2590634.0625","2676910.109375","2478328.4609375","2480108.3125","2491842.375","2760764.61328125","2745879.921875","2623574.375","2984907.375","3056245.453125","3081111.796875","3097365.625","3396238.875","3601263.75","3974589.046875","","",
"United Arab Emirates","ARE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","30000","30000","35000","35000","35000","38000","38000","40000","40000","40000","40000","43000","43000","43000","67800","67800","64600","64600","64600","64600","64600","67760","69755","72716","72716","72260","79321","85243","89500","91160","95129","92336","95046","99600","108600","105884","107000","114358","114739","117607","105456","112561","97574","95150","90000","86735","100403","96453","74075","77705","79610","75147","72728","73000","73203","73000","73000","73000","73000","","",
"Argentina","ARG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","104732","101900","101306","130571","168604","205000","250800","240860","223121","202800","214500","228608","237948","301989","295965","232209","281727","402723","541892","580657","400011","374777","488112","428064","322563","419470","422424","461568","496041","494683","560857","642362","745678","984908","999814","1175635","1290065","1389550","1165404","1086938","922289","931282","946535","911283","945978","934009","1176616","992618","999949","872632","818162","815988","762560","890305","853436","835850","771152","849268","838209","","",
