YEAR,PRICE
1990,5.90171077465956
1991,5.3634556463681
1992,5.9010786209312
1993,5.00957194119677
1994,5.01166682336935
1995,4.77574229268233
1996,4.11114341812011
1997,3.72592442619813
1998,3.71867726171074
1999,3.56946466179527
2000,3.64596890994144
2001,2.89095320495169
2002,2.93730077818289
2003,2.9926678173164
2004,3.34336409459303
2005,4.06291452880724
2006,5.06157980753727
2007,4.54450665175412
2008,4.84840155137342
2009,4.92302050857039
2010,6.14314941716508
2011,5.95698838204772
2012,4.74461048995732
2013,6.71574352704874
2014,6.60021911815326
2015,5.30558249728242
2016,7.13903648724021
2017,7.44419161219144
2018,7.52436752995037
2019,6.92070711586451
2020,6.09988508685399
