DATE,PSALMUSDQ
1990,5.48
1990,5.70
1990,5.98
1990,6.43
1991,6.17
1991,5.01
1991,4.81
1991,5.45
1992,5.36
1992,5.12
1992,6.96
1992,6.15
1993,5.08
1993,5.69
1993,5.05
1993,4.19
1994,4.47
1994,5.36
1994,5.17
1994,5.03
1995,4.88
1995,5.31
1995,4.81
1995,4.08
1996,4.31
1996,4.31
1996,3.73
1996,4.07
1997,3.99
1997,3.62
1997,3.63
1997,3.64
1998,3.46
1998,3.98
1998,3.69
1998,3.72
1999,3.61
1999,3.60
1999,3.45
1999,3.61
2000,3.90
2000,4.02
2000,3.70
2000,2.94
2001,3.05
2001,2.96
2001,2.88
2001,2.65
2002,2.57
2002,2.95
2002,3.06
2002,3.14
2003,3.25
2003,3.03
2003,2.59
2003,3.08
2004,3.33
2004,3.43
2004,3.24
2004,3.36
2005,3.85
2005,4.05
2005,4.29
2005,4.04
2006,4.21
2006,6.09
2006,5.56
2006,4.37
2007,4.59
2007,4.47
2007,4.55
2007,4.55
2008,4.92
2008,5.19
2008,5.31
2008,3.95
2009,4.23
2009,5.24
2009,5.25
2009,4.95
2010,5.56
2010,6.25
2010,6.31
2010,6.44
2011,7.02
2011,7.19
2011,5.26
2011,4.34
2012,4.72
2012,4.83
2012,4.63
2012,4.78
2013,6.38
2013,7.10
2013,6.70
2013,6.66
2014,7.76
2014,6.94
2014,5.93
2014,5.75
2015,5.55
2015,5.13
2015,5.25
2015,5.27
2016,6.50
2016,7.34
2016,7.24
2016,7.46
2017,7.90
2017,7.85
2017,7.50
2017,6.50
2018,7.65
2018,8.58
2018,6.99
2018,6.85
2019,7.40
2019,7.54
2019,6.27
2019,6.45
2020,7.32
2020,6.10
2020,5.63
2020,5.34
2021,6.36
2021,7.55
2021,6.64
